gene	logFC	logCPM	PValue	adj_pval	Status
MAGEF1	-14.8430341668102	4.87377867438799	1.67403310153362e-144	1.50177509538581e-140	Down
MAGOH	1.91871871971687	6.38545806741895	1.58858433305088e-17	1.42511900517994e-13	NoDE
MAGOHB	14.8652127782902	5.05107511030665	2.3178294540057e-102	2.07932480318851e-98	UP
MAGT1	-0.686667839614366	5.94035899226369	0.00048316436491548	1	NoDE
MAIP1	-13.4115132462473	3.29755758437607	2.92796864542324e-99	2.62668067180919e-95	Down
MAK16	16.0347607228408	6.18275878454461	5.55762455542273e-135	4.98574498866973e-131	UP
MAL2	-15.4602703366165	5.52011380013468	3.69459795559333e-167	3.31442382596277e-163	Down
MALAT1	0.951185685655913	9.51274013926484	0.000376519938341673	1	NoDE
MALSU1	-0.271552210013214	4.58491944243949	0.187330378897694	1	NoDE
MAML1	-15.1009623427995	5.14539817783059	2.49437087624173e-156	2.23770011307646e-152	Down
MAN1A1	-2.37082519661073	8.22915351229071	4.10258764531729e-35	3.68043137661414e-31	Down
MAN1B1	-14.9630622142121	5.0003871020681	1.25176834857902e-144	1.12296138551024e-140	Down
MAN2A1	-16.4416978428549	6.52782910862562	1.19361670521503e-152	1.0707935462484e-148	Down
MAN2A2	13.7685267471035	4.01853770524435	1.71027094659818e-78	1.53428406619323e-74	UP
MAN2B1	-15.7401463653459	5.80928073623136	5.19811658654215e-155	4.66323038978696e-151	Down
MAN2C1	-14.6048572747747	4.62040542200217	1.97969547550829e-130	1.77598481107849e-126	Down
