logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_Rep1_GM12878_batch1 GM12878_Rep2_GM12878_batch1
-8.99885186350438 5.26463677741729 6.28025106055398e-22 ENSG00000082898.16 7.89867175885875e-18 68 48 0 0
4.84333863648541 6.20232570693796 7.00487508616003e-22 ENSG00000167775.10 8.81003139586347e-18 3 4 104 148
3.72653204760684 8.69161842417627 7.36963155938923e-22 ENSG00000188229.5 9.26878561224384e-18 27 59 640 761
-8.98100763775038 5.24849892449929 7.77353256995882e-22 ENSG00000188985.6 9.77677191323721e-18 71 44 0 0
3.96765980028905 7.14561088598094 8.10371231207105e-22 ENSG00000155660.10 1.01920389748918e-17 10 15 185 303
3.70413969365516 8.11835366069208 1.26020887507429e-21 ENSG00000064666.14 1.58496470218094e-17 23 36 448 481
-3.67569372405905 9.04461574329271 1.30416769918747e-21 ENSG00000129559.12 1.64025171526809e-17 774 727 65 76
4.39841400990668 6.53248255694703 1.3745810536295e-21 ENSG00000013306.15 1.72881059114983e-17 3 9 121 198
-8.9464735462077 5.20724924290196 1.51426601150457e-21 ENSG00000259112.2 1.90449236266929e-17 40 69 0 0
9.07739459581581 5.43697249422816 1.65344591663703e-21 ENSG00000260537.2 2.07953892935439e-17 0 0 57 92
-8.9309943680688 5.19531991339603 1.90580317884388e-21 ENSG00000036257.12 2.39692865803195e-17 50 59 0 0
