logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_ONT_Rep1_GM12878_batch1 GM12878_ONT_Rep2_GM12878_batch1
-9.70173584378444 6.99582174635018 7.95513941489988e-20 ENSG00000120992.17 9.82380166345986e-16 176 123 0 0
-9.68875497660112 6.98444149841063 1.04488448937156e-19 ENSG00000213246.6 1.29032785592493e-15 185 112 0 0
-3.27696856899639 13.9168949126195 1.0922242169246e-19 ENSG00000229117.8 1.34878768548019e-15 17602 20211 718 840
-9.67909738422233 6.97356781620037 1.20347407855331e-19 ENSG00000278615.4 1.48617013960548e-15 106 184 0 0
5.07472538439611 6.75389452082052 1.27300084972079e-19 ENSG00000158517.13 1.5720287493202e-15 5 4 60 65
5.71637516466628 6.24098562635958 1.56576004364247e-19 ENSG00000214026.10 1.93355707789409e-15 2 2 42 49
4.87807463972497 6.85470946699879 1.72913952268566e-19 ENSG00000126934.13 2.13531439656452e-15 5 6 60 73
5.0108425485446 6.84993013902496 1.73645893123412e-19 ENSG00000204394.12 2.14435313418101e-15 4 6 61 72
4.2275805281252 7.7107965869558 1.78952697011898e-19 ENSG00000272196.2 2.20988685539993e-15 10 20 101 127
3.97894367894813 8.15995499517936 1.90750499583706e-19 ENSG00000011052.21 2.35557791935918e-15 24 24 135 169
9.31054868851014 6.18848457210519 2.61793994299871e-19 ENSG00000161939.19 3.23289403560911e-15 0 0 44 46
-9.63528663205214 6.93587660084765 2.77754088716124e-19 ENSG00000116478.11 3.42998524155541e-15 160 125 0 0
5.23779740519104 6.55689601148282 3.44407415150411e-19 ENSG00000224631.4 4.25308716969242e-15 3 4 45 66
4.53657313326209 7.25395754068015 3.48030122195644e-19 ENSG00000104964.14 4.297823978994e-15 5 13 73 98
-3.74588158337888 9.21284942973593 4.58350311349064e-19 ENSG00000163683.11 5.66016799484959e-15 901 554 15 28
-9.59617933931091 6.90062163628688 5.67661330372156e-19 ENSG00000205155.7 7.01004976876576e-15 150 127 0 0
-9.5797882697612 6.88648485720355 7.58502522077747e-19 ENSG00000235655.3 9.36674764513809e-15 166 109 0 0
-9.5749519606464 6.88113322435328 7.61745009890916e-19 ENSG00000118939.17 9.40678912714292e-15 133 139 0 0
5.62520285095077 6.14389788201725 7.6836305402741e-19 ENSG00000284681.2 9.48851535418449e-15 2 2 44 41
-9.56427990427067 6.87306544443361 1.01522914221924e-18 ENSG00000073584.19 1.25370646772653e-14 179 94 0 0
-9.55513267474105 6.86424263987785 1.17752565514438e-18 ENSG00000022277.12 1.45412643153779e-14 158 112 0 0
4.90659571989996 6.59123473783107 2.23570751240413e-18 ENSG00000160789.19 2.76087520706786e-14 2 7 52 60
6.44982835112549 6.06488400935327 2.31706935064846e-18 ENSG00000226221.1 2.86134894111579e-14 0 2 38 44
-4.29747770901215 8.10000441958639 2.71309293345361e-18 ENSG00000085231.13 3.35039846352187e-14 349 308 10 3
-3.21076522064607 11.81787281968 3.0204148122308e-18 ENSG00000147403.16 3.72991025162381e-14 4296 4468 150 230
5.16608790481428 6.25315928909203 3.59692879117834e-18 ENSG00000159840.15 4.44184736422613e-14 2 4 51 39
9.15321539987737 6.02214743091343 4.08193315109755e-18 ENSG00000270617.1 5.04077924829037e-14 0 0 36 45
-3.29030726504332 10.7368139058831 4.40697519234071e-18 ENSG00000185885.15 5.44217366502155e-14 2613 1565 72 97
-9.47018975078955 6.78913143118385 4.57860430923969e-18 ENSG00000052802.12 5.6541184614801e-14 172 84 0 0
9.13602369967323 6.00354829446516 4.9339699564389e-18 ENSG00000124208.16 6.0929594992064e-14 0 0 36 44
6.40144386010126 6.01223626022443 4.94946222738975e-18 ENSG00000130725.7 6.1120909046036e-14 0 2 40 39
4.42035761799763 6.95395223041347 5.21272979614176e-18 ENSG00000213860.4 6.43720002525545e-14 7 9 59 81
-3.78366293700147 8.75693699885239 5.44792066405618e-18 ENSG00000124802.11 6.72763722804298e-14 540 502 13 17
9.12673940794307 5.99707517089846 5.99738042846412e-18 ENSG00000285641.1 7.40616509111035e-14 0 0 30 50
4.51755513493196 6.8547048075598 6.19588052411955e-18 ENSG00000101057.15 7.65129285923523e-14 4 10 64 67
-9.46047328590148 6.77919666623451 6.20059369004211e-18 ENSG00000188739.14 7.657113147833e-14 135 117 0 0
-9.4596232264463 6.77907874545701 6.20116312967781e-18 ENSG00000113851.14 7.65781634883913e-14 153 100 0 0
-9.45981918338715 6.77811837170837 6.20580390354674e-18 ENSG00000254505.9 7.66354724048986e-14 121 130 0 0
-3.65816182546399 9.0019055778929 6.38552253760046e-18 ENSG00000134001.12 7.88548178168281e-14 766 479 15 24
5.12952000010011 6.21698243751726 7.17290992092754e-18 ENSG00000108344.14 8.85782646135342e-14 2 4 47 41
-9.4242269659951 6.74644586684171 1.15758298384189e-17 ENSG00000163463.11 1.42949922674635e-13 120 125 0 0
-9.42144921702608 6.74482722570859 1.15903378889099e-17 ENSG00000152061.23 1.43129082590148e-13 143 103 0 0
-9.40637188458583 6.73290913593024 1.36093894514835e-17 ENSG00000081237.19 1.6806235033637e-13 182 64 0 0
6.33366580010415 5.94567945137926 1.6107842687042e-17 ENSG00000130175.9 1.98915749342281e-13 0 2 31 45
4.60313401795538 6.7035434851816 1.61789704331682e-17 ENSG00000100345.21 1.99794105879194e-13 4 8 73 45
-3.93481901624711 8.33672142856564 1.90455440150302e-17 ENSG00000234883.5 2.35193423041608e-13 425 349 8 12
4.60990226155583 6.58311984524774 1.97272691364468e-17 ENSG00000085117.11 2.43612046565981e-13 4 7 56 54
-9.38386836486334 6.71035750401594 2.14859473281347e-17 ENSG00000083457.11 2.65329963555135e-13 113 125 0 0
4.77139650354473 6.45141891323998 2.33680133630363e-17 ENSG00000232573.1 2.88571597020135e-13 3 6 45 57
5.40276338101283 5.92782643996697 2.39482711439223e-17 ENSG00000182154.7 2.95737200356297e-13 0 4 28 46
-3.25075777247538 10.342682178325 2.41309496836628e-17 ENSG00000173915.15 2.97993097643552e-13 1369 1748 49 83
3.50544307134959 8.55916838949157 2.53295864767828e-17 ENSG00000169100.13 3.12795063401791e-13 21 63 164 224
3.75022857420756 7.88047625201019 3.05987735816266e-17 ENSG00000169564.6 3.77864254959507e-13 19 27 125 123
-9.35065879290585 6.68170851885354 3.39624763963442e-17 ENSG00000132424.15 4.19402621018454e-13 133 101 0 0
-4.1875341854012 7.86999457921563 3.93521041874055e-17 ENSG00000100764.13 4.8595913461027e-13 324 231 3 9
-4.1448034974719 7.94062347315908 4.0243065666291e-17 ENSG00000066923.17 4.96961617913028e-13 310 272 4 9
5.74050992284083 5.87479486079174 4.09733775042991e-17 ENSG00000110047.17 5.05980238800589e-13 0 3 27 45
5.37134583504254 5.89287204365843 4.22871181367488e-17 ENSG00000172366.19 5.2220362187071e-13 0 4 32 40
4.18280820301028 7.13525929383289 4.32436974387798e-17 ENSG00000188486.3 5.34016419671492e-13 5 16 66 90
-9.32088838952068 6.65447605560745 5.40762621533437e-17 ENSG00000143198.12 6.67787761331641e-13 111 117 0 0
8.98041201788098 5.83953044698911 5.90322822943202e-17 ENSG00000285762.1 7.28989654052561e-13 0 0 30 42
-9.31302453510992 6.64960728815198 6.33115409359072e-17 ENSG00000196305.17 7.81834219017519e-13 162 68 0 0
3.29971581314568 9.14619106634243 7.11661893136433e-17 ENSG00000132507.17 8.78831271834181e-13 66 78 265 302
4.91312949567954 6.22366219197456 8.41514572646971e-17 ENSG00000172354.9 1.03918634576174e-12 2 5 44 44
8.95985157212505 5.81002459558432 8.64456021631952e-17 ENSG00000264058.2 1.0675167411133e-12 0 0 41 29
-9.28625122126117 6.62401256722034 1.018166803756e-16 ENSG00000124795.15 1.25733418595828e-12 115 108 0 0
-9.28834144760719 6.62564920774722 1.01858137636417e-16 ENSG00000133226.16 1.25784614167212e-12 110 113 0 0
3.36511854323859 8.73259778900971 1.06562118936288e-16 ENSG00000162511.7 1.31593560674423e-12 59 46 196 235
6.99059267280883 5.78642812954726 1.28771682171347e-16 ENSG00000120875.8 1.59020150313396e-12 0 1 27 42
6.99570349529343 5.78981978943284 1.29569025656878e-16 ENSG00000077150.18 1.60004789783679e-12 0 1 30 39
4.82731518570001 6.33486178575901 1.30266334079567e-16 ENSG00000108106.13 1.60865895954858e-12 1 7 52 42
-9.25930870808016 6.59813670883273 1.4002558184782e-16 ENSG00000179818.13 1.72917591023872e-12 67 149 0 0
4.65729741242634 6.33498660738826 1.53531007048797e-16 ENSG00000105364.13 1.89595440604559e-12 3 6 44 50
-3.14914784286293 10.329991106095 1.68476896439895e-16 ENSG00000113558.18 2.08052119413626e-12 1605 1481 66 72
8.90455017554381 5.75675572904128 1.90959856185339e-16 ENSG00000262526.2 2.35816326403275e-12 0 0 32 36
-9.24478931132427 6.58819477163867 1.93991696800471e-16 ENSG00000272921.1 2.39560346378902e-12 133 85 0 0
-3.01076364043623 11.6321931156687 2.06478159857038e-16 ENSG00000170315.13 2.54979879607456e-12 3701 3888 167 209
-9.2366066641895 6.58041037934383 2.2846700344482e-16 ENSG00000198901.13 2.82133902554008e-12 120 96 0 0
6.15549385805619 5.75939768358232 2.40734387370518e-16 ENSG00000136286.15 2.97282894963853e-12 0 2 29 38
-3.03901116180995 11.0335387702528 2.85344464782174e-16 ENSG00000197728.11 3.52371879559507e-12 2279 2715 109 134
8.88057245715716 5.7324792028363 2.87959438028939e-16 ENSG00000284431.1 3.55601110021937e-12 0 0 30 37
